Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,45-54,288,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,55-64,933,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,65-74,1902,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,75-84,3060,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,85+,4741,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,Not stated,0,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Heart failure,I50,All ages,11056,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,0-24,7,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,25-34,24,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,35-44,84,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,45-54,285,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,55-64,921,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,65-74,1814,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,75-84,2364,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,85+,2584,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,Not stated,1,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All ages,8084,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,40,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,103,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,220,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,534,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,1199,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,2058,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,2292,
8/30/2020,2/1/2020,8/29/2020,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,2795,
